# 36551,-0.21826647,-0.058506694,0.6592081,0.8358392,0.0,2125246.0,0.0,770.0,1.0,2040.0
Postal Code 	 x 	 y 	 iseecode 	 place 	 population 	 surface 	 altitude
64460	-0.1788233	0.70701045	64001	Aast	190	4.89	380.0
55130	-0.09809987	0.78726274	55001	Abainville	318	13.67	290.0
59265	-0.11988744	0.820176	59001	Abancourt	433	5.69	50.0
60220	-0.1373285	0.8133629	60001	Abancourt	567	5.96	210.0
54610	-0.08868992	0.7926844	54001	Abaucourt	309	7.96	190.0
55400	-0.09625692	0.79881454	55002	Abaucourt-Hautecourt	111	9.74	230.0
25320	-0.09640001	0.7624785	25001	Abbans-Dessous	174	3.21	260.0
25440	-0.096335314	0.7622517	25002	Abbans-Dessus	274	4.39	400.0
44170	-0.18151517	0.78343755	44001	Abbaretz	1511	62.13	70.0
60430	-0.13390093	0.80673164	60002	Abbecourt	670	7.47	108.0
2300	-0.12184264	0.8091397	2001	Abbécourt	447	6.04	40.0
25340	-0.08894995	0.76812935	25003	Abbenans	370	11.31	330.0
80132	-0.1353822	0.8202946	80001	Abbeville	24567	26.46	10.0
91150	-0.13657348	0.7892718	91001	Abbéville-la-Rivière	262	15.0	80.0
54800	-0.09279473	0.79843366	54002	Abbéville-lès-Conflans	244	7.78	220.0
60480	-0.13331437	0.8095145	60003	Abbeville-Saint-Lucien	506	5.31	150.0
25310	-0.08357872	0.7664113	25004	Abbévillers	877	11.19	560.0
34290	-0.13586701	0.7026777	34001	Abeilhan	979	7.88	90.0
70300	-0.090325795	0.77328247	70001	Abelcourt	303	7.61	260.0
64160	-0.17953107	0.70896125	64002	Abère	133	5.77	331.0
39500	-0.10253719	0.76207376	39001	Abergement-la-Ronce	735	7.14	180.0
39600	-0.09913175	0.75889504	39002	Abergement-le-Grand	41	4.14	278.0
39800	-0.098962136	0.7586561	39003	Abergement-le-Petit	43	1.6	275.0
39110	-0.096045956	0.75861937	39004	Abergement-lès-Thésy	53	4.55	680.0
64150	-0.18509081	0.7102054	64003	Abidos	200	3.14	90.0
37160	-0.15732414	0.76785266	37001	Abilly	1109	30.7	60.0
64390	-0.18957573	0.711463	64004	Abitain	107	6.64	50.0
